,place,country,capital_city,points,year,host_city,dist_between_host_and_participant
0,1,Denmark,Copenhagen,195.0,2000.0,Stockholm,523.0
1,2,Russia,Moscow,155.0,2000.0,Stockholm,1231.0
2,3,Latvia,Riga,136.0,2000.0,Stockholm,443.0
3,4,Estonia,Tallinn,98.0,2000.0,Stockholm,379.0
4,5,Germany,Berlin,96.0,2000.0,Stockholm,813.0
5,6,Ireland,Dublin,92.0,2000.0,Stockholm,1634.0
6,7,Sweden,Stockholm,88.0,2000.0,Stockholm,0.0
7,8,Malta,Valletta,73.0,2000.0,Stockholm,2618.0
8,9,Croatia,Zagreb,70.0,2000.0,Stockholm,1512.0
9,10,Turkey,Ankara,59.0,2000.0,Stockholm,2395.0
10,11,Norway,Oslo,57.0,2000.0,Stockholm,418.0
11,12,Iceland,Reykjavík,45.0,2000.0,Stockholm,2142.0
12,13,Netherlands,Amsterdam,40.0,2000.0,Stockholm,1129.0
13,14,Austria,Vienna,34.0,2000.0,Stockholm,1243.0
14,15,North Macedonia,Skopje,29.0,2000.0,Stockholm,1942.0
15,16,United Kingdom,London,28.0,2000.0,Stockholm,1436.0
16,17,Romania,Bucharest,25.0,2000.0,Stockholm,1747.0
17,18,Spain,Madrid,18.0,2000.0,Stockholm,2596.0
18,18,Finland,Helsinki,18.0,2000.0,Stockholm,397.0
19,20,Switzerland,Bern,14.0,2000.0,Stockholm,1546.0
20,21,Cyprus,Nicosia,8.0,2000.0,Stockholm,2908.0
21,22,Israel,Tel Aviv,7.0,2000.0,Stockholm,3275.0
22,23,France,Paris,5.0,2000.0,Stockholm,1547.0
23,24,Belgium,Brussels,2.0,2000.0,Stockholm,1283.0
24,1,Estonia,Tallinn,198.0,2001.0,Copenhagen,839.0
25,2,Denmark,Copenhagen,177.0,2001.0,Copenhagen,0.0
26,3,Greece,Athens,147.0,2001.0,Copenhagen,2137.0
27,4,France,Paris,142.0,2001.0,Copenhagen,1029.0
28,5,Sweden,Stockholm,100.0,2001.0,Copenhagen,523.0
29,6,Spain,Madrid,76.0,2001.0,Copenhagen,2074.0
30,7,Slovenia,Ljubljana,70.0,2001.0,Copenhagen,1080.0
31,8,Germany,Berlin,66.0,2001.0,Copenhagen,356.0
32,9,Malta,Valletta,48.0,2001.0,Copenhagen,2204.0
33,10,Croatia,Zagreb,42.0,2001.0,Copenhagen,1124.0
34,11,Turkey,Ankara,41.0,2001.0,Copenhagen,2301.0
35,12,Russia,Moscow,37.0,2001.0,Copenhagen,1566.0
36,13,Lithuania,Vilnius,35.0,2001.0,Copenhagen,817.0
37,14,Bosnia & Herzegovina,Sarejevo,29.0,2001.0,Copenhagen,1380.0
38,15,United Kingdom,London,28.0,2001.0,Copenhagen,958.0
39,16,Israel,Tel Aviv,25.0,2001.0,Copenhagen,3142.0
40,17,Portugal,Lisbon,18.0,2001.0,Copenhagen,2479.0
41,18,Netherlands,Amsterdam,16.0,2001.0,Copenhagen,623.0
42,18,Latvia,Riga,16.0,2001.0,Copenhagen,727.0
43,20,Poland,Warsaw,11.0,2001.0,Copenhagen,676.0
44,21,Ireland,Dublin,6.0,2001.0,Copenhagen,1243.0
45,22,Iceland,Reykjavík,3.0,2001.0,Copenhagen,2113.0
46,22,Norway,Oslo,3.0,2001.0,Copenhagen,483.0
47,1,Latvia,Riga,176.0,2002.0,Tallinn,280.0
48,2,Malta,Valletta,164.0,2002.0,Tallinn,2720.0
49,3,United Kingdom,London,111.0,2002.0,Tallinn,1788.0
50,3,Estonia,Tallinn,111.0,2002.0,Tallinn,0.0
51,5,France,Paris,104.0,2002.0,Tallinn,1863.0
52,6,Cyprus,Nicosia,85.0,2002.0,Tallinn,2770.0
53,7,Spain,Madrid,81.0,2002.0,Tallinn,2897.0
54,8,Sweden,Stockholm,72.0,2002.0,Tallinn,379.0
55,9,Romania,Bucharest,71.0,2002.0,Tallinn,1676.0
56,10,Russia,Moscow,55.0,2002.0,Tallinn,870.0
57,11,Croatia,Zagreb,44.0,2002.0,Tallinn,1627.0
58,12,Israel,Tel Aviv,37.0,2002.0,Tallinn,3131.0
59,13,Bosnia & Herzegovina,Sarejevo,33.0,2002.0,Tallinn,1786.0
60,13,Belgium,Brussels,33.0,2002.0,Tallinn,1603.0
61,13,Slovenia,Ljubljana,33.0,2002.0,Tallinn,1638.0
62,16,Turkey,Ankara,29.0,2002.0,Tallinn,2243.0
63,17,Greece,Athens,27.0,2002.0,Tallinn,2387.0
64,18,Austria,Vienna,26.0,2002.0,Tallinn,1363.0
